,state,date,price
394,New Mexico,2021-09-01,1266.6504287790287
395,New York,2021-09-01,1518.151280320647
396,North Carolina,2021-09-01,1403.389554836226
397,Ohio,2021-09-01,1089.8587370363837
398,Oklahoma,2021-09-01,1169.927410426669
399,Oregon,2021-09-01,1703.3794549176912
400,Pennsylvania,2021-09-01,1274.6895761425033
401,Rhode Island,2021-09-01,1633.6458721975657
402,South Carolina,2021-09-01,1389.2437847784906
403,Tennessee,2021-09-01,1433.4221798977471
404,Texas,2021-09-01,1466.95976701491
405,United States,2021-09-01,1768.0156733455926
406,Utah,2021-09-01,1414.787030490648
407,Virginia,2021-09-01,1390.1632432298575
408,Washington,2021-09-01,1706.5656109822357
409,Wisconsin,2021-09-01,1313.5486082861978
410,Alabama,2021-10-01,1140.2262716355986
411,Arizona,2021-10-01,1448.638199014331
412,Arkansas,2021-10-01,956.009123390637
413,California,2021-10-01,2370.8731506432323
414,Colorado,2021-10-01,1738.5953923090226
415,Connecticut,2021-10-01,1734.5261678231059
416,District of Columbia,2021-10-01,2073.49124279203
417,Florida,2021-10-01,1796.3562479637667
418,Georgia,2021-10-01,1426.431270123263
419,Hawaii,2021-10-01,2124.5627124653843
420,Idaho,2021-10-01,1435.4064341250905
421,Illinois,2021-10-01,1699.6363279186573
422,Indiana,2021-10-01,1314.9148502137632
423,Iowa,2021-10-01,1183.6164941397337
424,Kansas,2021-10-01,861.4426664070206
425,Kentucky,2021-10-01,1021.9355499514996
426,Louisiana,2021-10-01,1314.5681728233026
427,Maryland,2021-10-01,1660.5482196195826
428,Massachusetts,2021-10-01,1735.8168640816612
429,Michigan,2021-10-01,1325.6097531198725
430,Minnesota,2021-10-01,1578.1420109692408
431,Mississippi,2021-10-01,1309.4091864438167
432,Missouri,2021-10-01,1220.24238121764
433,Nebraska,2021-10-01,1290.5430818786388
434,Nevada,2021-10-01,1506.9949113735177
435,New Mexico,2021-10-01,1270.1793013026186
436,New York,2021-10-01,1521.9158315222137
437,North Carolina,2021-10-01,1406.3118659146962
438,Ohio,2021-10-01,1088.717948794075
439,Oklahoma,2021-10-01,1168.0166978029154
440,Oregon,2021-10-01,1715.737632795708
441,Pennsylvania,2021-10-01,1293.2934744825286
442,Rhode Island,2021-10-01,1622.7696538228145
443,South Carolina,2021-10-01,1393.1940522924986
444,Tennessee,2021-10-01,1448.8790482530865
445,Texas,2021-10-01,1465.971984632822
446,United States,2021-10-01,1766.6742683538048
447,Utah,2021-10-01,1411.1491545875836
448,Virginia,2021-10-01,1391.7834679114983
449,Washington,2021-10-01,1709.0991510545098
450,Wisconsin,2021-10-01,1301.6479578824144
451,Alabama,2021-11-01,1127.4900091148318
452,Arizona,2021-11-01,1469.5148019591686
453,Arkansas,2021-11-01,953.0811074660546
454,California,2021-11-01,2375.524483633723
455,Colorado,2021-11-01,1729.7585706912216
456,Connecticut,2021-11-01,1734.7033582667152
457,District of Columbia,2021-11-01,2052.57257800106
458,Florida,2021-11-01,1812.3891283710432
459,Georgia,2021-11-01,1434.179071705188
460,Hawaii,2021-11-01,2119.3058820917586
461,Idaho,2021-11-01,1439.9642816567716
462,Illinois,2021-11-01,1686.9286331853905
463,Indiana,2021-11-01,1322.3853516620488
464,Iowa,2021-11-01,1183.469262416801
465,Kansas,2021-11-01,855.9832102948336
466,Kentucky,2021-11-01,1019.5067532315529
467,Louisiana,2021-11-01,1320.9138811307876
468,Maryland,2021-11-01,1669.0378055092306
469,Massachusetts,2021-11-01,1733.5909594511766
470,Michigan,2021-11-01,1328.8443826005837
471,Minnesota,2021-11-01,1573.4525453649337
472,Mississippi,2021-11-01,1312.185783653398
473,Missouri,2021-11-01,1221.8811149630467
474,Nebraska,2021-11-01,1280.8431960168732
475,Nevada,2021-11-01,1514.9129052292517
476,New Mexico,2021-11-01,1278.3481204158086
477,New York,2021-11-01,1508.543906414241
478,North Carolina,2021-11-01,1408.7215305281156
479,Ohio,2021-11-01,1079.343590808493
480,Oklahoma,2021-11-01,1172.3364172194886
481,Oregon,2021-11-01,1706.8018431260346
482,Pennsylvania,2021-11-01,1300.056130359374
483,Rhode Island,2021-11-01,1640.3147678807925
484,South Carolina,2021-11-01,1387.732056352231
485,Tennessee,2021-11-01,1454.7085653231818
486,Texas,2021-11-01,1464.6589637039824
487,United States,2021-11-01,1764.4835503284519
488,Utah,2021-11-01,1425.1100463407106
489,Virginia,2021-11-01,1384.8797517138805
490,Washington,2021-11-01,1703.0271372285074
491,Wisconsin,2021-11-01,1304.566341375542
492,Alabama,2021-12-01,1134.2098398233848
493,Arizona,2021-12-01,1482.69123164956
494,Arkansas,2021-12-01,953.9864766756419
495,California,2021-12-01,2380.011336900422
496,Colorado,2021-12-01,1742.3419966547285
497,Connecticut,2021-12-01,1751.7438531206421
498,District of Columbia,2021-12-01,2044.1871067822033
499,Florida,2021-12-01,1837.728017431372
500,Georgia,2021-12-01,1439.4162540511593
501,Hawaii,2021-12-01,2117.9029465725653
502,Idaho,2021-12-01,1455.5760074196446
503,Illinois,2021-12-01,1670.8226622116829
504,Indiana,2021-12-01,1322.0941793536047
505,Iowa,2021-12-01,1191.358244398697
506,Kansas,2021-12-01,849.4598359982614
507,Kentucky,2021-12-01,1023.478285733196
508,Louisiana,2021-12-01,1316.0017956153042
509,Maryland,2021-12-01,1677.9396558681754
510,Massachusetts,2021-12-01,1726.233815985364
511,Michigan,2021-12-01,1332.0818218936924
512,Minnesota,2021-12-01,1578.3197115004832
513,Mississippi,2021-12-01,1284.8062840653006
514,Missouri,2021-12-01,1222.4532900381034
515,Nebraska,2021-12-01,1276.3803760997541
516,Nevada,2021-12-01,1523.3450813257436
517,New Mexico,2021-12-01,1289.5364804094825
518,New York,2021-12-01,1505.4407988656546
519,North Carolina,2021-12-01,1415.8183136100733
520,Ohio,2021-12-01,1082.7596476712608
521,Oklahoma,2021-12-01,1165.1954432831237
522,Oregon,2021-12-01,1700.8895684255885
523,Pennsylvania,2021-12-01,1297.6172018001998
524,Rhode Island,2021-12-01,1654.870530865179
525,South Carolina,2021-12-01,1392.0780026470188
526,Tennessee,2021-12-01,1444.347358000937
527,Texas,2021-12-01,1472.320106966972
528,United States,2021-12-01,1765.9895740237553
529,Utah,2021-12-01,1422.1484606061852
530,Virginia,2021-12-01,1399.6275734121396
531,Washington,2021-12-01,1678.5462388067992
532,Wisconsin,2021-12-01,1307.556258801341
