,city,date,price,state
291,Melbourne,2021-02-01,1557.211527,Florida
292,Memphis,2021-02-01,1320.639726,Tennessee
293,Miami,2021-02-01,1924.352794,Florida
294,Milwaukee,2021-02-01,1224.290608,Wisconsin
295,Minneapolis,2021-02-01,1545.209684,Minnesota
296,Nashville,2021-02-01,1605.053641,Tennessee
297,New Haven,2021-02-01,1461.304718,Connecticut
298,New Orleans,2021-02-01,1409.384561,Louisiana
299,New York,2021-02-01,2588.446578,New York
300,North Port,2021-02-01,2154.085657,Florida
301,Ogden,2021-02-01,1372.093336,Utah
302,Oklahoma City,2021-02-01,1092.576401,Oklahoma
303,Omaha,2021-02-01,1242.55313,Nebraska
304,Orlando,2021-02-01,1594.533847,Florida
305,Philadelphia,2021-02-01,1606.375624,Pennsylvania
306,Phoenix,2021-02-01,1541.412724,Arizona
307,Pittsburgh,2021-02-01,1184.257574,Pennsylvania
308,Port St. Lucie,2021-02-01,1761.856558,Florida
309,Portland,2021-02-01,1655.561813,Oregon
310,Providence,2021-02-01,1594.596519,Rhode Island
311,Provo,2021-02-01,1379.247641,Utah
312,Raleigh,2021-02-01,1513.653468,North Carolina
313,Richmond,2021-02-01,1326.430358,Virginia
314,Riverside,2021-02-01,2176.814507,California
315,Rochester,2021-02-01,1170.853381,New York
316,Sacramento,2021-02-01,1923.388423,California
317,Salem,2021-02-01,1268.594166,North Carolina
318,Salt Lake City,2021-02-01,1405.985783,Utah
319,San Antonio,2021-02-01,1329.944379,Texas
320,San Diego,2021-02-01,2327.635775,California
321,San Francisco,2021-02-01,3044.020821,California
322,San Jose,2021-02-01,2974.586951,California
323,Sarasota,2021-02-01,2154.085657,Florida
324,Scranton,2021-02-01,935.73659,Pennsylvania
325,Seattle,2021-02-01,1946.82244,Washington
326,Spokane,2021-02-01,1333.358513,Washington
327,Springfield,2021-02-01,1339.704653,Massachusetts
328,St. Louis,2021-02-01,1154.616858,Missouri
329,St. Paul,2021-02-01,1545.209684,Minnesota
330,Stamford,2021-02-01,2173.76384,Connecticut
331,Stockton,2021-02-01,2105.507195,California
332,Syracuse,2021-02-01,1182.160735,New York
333,Tampa,2021-02-01,1564.448961,Florida
334,Toledo,2021-02-01,893.2896819,Ohio
335,Tucson,2021-02-01,1247.061636,Arizona
336,Tulsa,2021-02-01,1182.793138,Oklahoma
337,United States,2021-02-01,1737.497148,United States
338,Ventura,2021-02-01,2734.774831,California
339,Virginia Beach,2021-02-01,1386.77011,Virginia
340,Washington,2021-02-01,2045.75766,District of Columbia
341,Wichita,2021-02-01,820.0098169,Kansas
342,Winston,2021-02-01,1268.594166,North Carolina
343,Worcester,2021-02-01,1481.366491,Massachusetts
344,Youngstown,2021-02-01,706.0890736,Ohio
345,Akron,2021-03-01,927.0881896,Ohio
346,Albany,2021-03-01,1350.265428,New York
347,Albuquerque,2021-03-01,1233.658469,New Mexico
348,Allentown,2021-03-01,1378.338476,Pennsylvania
349,Anaheim,2021-03-01,2587.576919,California
350,Atlanta,2021-03-01,1602.581643,Georgia
351,Augusta,2021-03-01,1167.203159,Georgia
352,Austin,2021-03-01,1548.286654,Texas
353,Bakersfield,2021-03-01,1393.363092,California
354,Baltimore,2021-03-01,1651.945476,Maryland
355,Baton Rouge,2021-03-01,1183.789415,Louisiana
356,Birmingham,2021-03-01,1106.708992,Alabama
357,Boise City,2021-03-01,1382.691723,Idaho
358,Boston,2021-03-01,2371.583313,Massachusetts
359,Boulder,2021-03-01,2070.971769,Colorado
360,Bradenton,2021-03-01,2158.237065,Florida
361,Buffalo,2021-03-01,1154.333034,New York
362,Charleston,2021-03-01,1572.1949,South Carolina
363,Charlotte,2021-03-01,1526.662042,North Carolina
364,Chattanooga,2021-03-01,1289.595306,Tennessee
365,Chicago,2021-03-01,1691.777939,Illinois
366,Cincinnati,2021-03-01,1320.084801,Ohio
367,Cleveland,2021-03-01,1145.119409,Ohio
368,Colorado Springs,2021-03-01,1573.749339,Colorado
369,Columbia,2021-03-01,1188.867713,South Carolina
370,Columbus,2021-03-01,1344.996926,Ohio
371,Dallas,2021-03-01,1567.847318,Texas
372,Dayton,2021-03-01,1059.250026,Ohio
373,Daytona Beach,2021-03-01,1472.111591,Florida
374,Denver,2021-03-01,1753.113987,Colorado
375,Des Moines,2021-03-01,1153.805485,Iowa
376,Detroit,2021-03-01,1312.703453,Michigan
377,Durham,2021-03-01,1420.982411,North Carolina
378,El Paso,2021-03-01,1189.782436,Texas
379,Fort Collins,2021-03-01,1573.749443,Colorado
380,Fort Lauderdale,2021-03-01,1937.92148,Florida
381,Fort Myers,2021-03-01,1916.560368,Florida
382,Fort Worth,2021-03-01,1567.847318,Texas
383,Fresno,2021-03-01,1588.175521,California
384,Gainesville,2021-03-01,1397.876522,Georgia
385,Grand Rapids,2021-03-01,1271.144968,Michigan
386,Greeley,2021-03-01,1600.803758,Colorado
387,Greensboro,2021-03-01,1252.586255,North Carolina
388,Greenville,2021-03-01,1315.849258,South Carolina
389,Harrisburg,2021-03-01,1155.477518,Pennsylvania
390,Hartford,2021-03-01,1393.597616,Connecticut
391,Honolulu,2021-03-01,2105.611542,Hawaii
392,Houston,2021-03-01,1487.635166,Texas
393,Indianapolis,2021-03-01,1278.979487,Indiana
394,Jackson,2021-03-01,1273.804024,Mississippi
395,Jacksonville,2021-03-01,1395.952366,Florida
396,Jefferson County,2021-03-01,1006.165886,Kentucky
397,Kansas City,2021-03-01,1215.592756,Missouri
398,Knoxville,2021-03-01,1370.714947,Tennessee
399,Lakeland,2021-03-01,1470.194135,Florida
400,Las Vegas,2021-03-01,1465.993168,Nevada
401,Little Rock,2021-03-01,930.753575,Arkansas
402,Long Beach,2021-03-01,2587.576919,California
403,Los Angeles,2021-03-01,2587.576919,California
404,Louisville,2021-03-01,1006.165886,Kentucky
405,Madison,2021-03-01,1354.762961,Wisconsin
406,Melbourne,2021-03-01,1572.106694,Florida
407,Memphis,2021-03-01,1329.917646,Tennessee
408,Miami,2021-03-01,1937.92148,Florida
409,Milwaukee,2021-03-01,1229.413538,Wisconsin
410,Minneapolis,2021-03-01,1562.524166,Minnesota
411,Nashville,2021-03-01,1624.893775,Tennessee
412,New Haven,2021-03-01,1474.694115,Connecticut
413,New Orleans,2021-03-01,1425.350178,Louisiana
414,New York,2021-03-01,2628.12727,New York
415,North Port,2021-03-01,2158.237065,Florida
416,Ogden,2021-03-01,1367.079425,Utah
417,Oklahoma City,2021-03-01,1100.287762,Oklahoma
418,Omaha,2021-03-01,1252.993944,Nebraska
419,Orlando,2021-03-01,1599.726703,Florida
420,Philadelphia,2021-03-01,1624.25205,Pennsylvania
421,Phoenix,2021-03-01,1559.725729,Arizona
422,Pittsburgh,2021-03-01,1209.429246,Pennsylvania
423,Port St. Lucie,2021-03-01,1776.386736,Florida
424,Portland,2021-03-01,1672.573699,Oregon
425,Providence,2021-03-01,1610.93576,Rhode Island
426,Provo,2021-03-01,1370.077264,Utah
427,Raleigh,2021-03-01,1519.89873,North Carolina
428,Richmond,2021-03-01,1334.712609,Virginia
429,Riverside,2021-03-01,2185.9215,California
430,Rochester,2021-03-01,1175.715617,New York
431,Sacramento,2021-03-01,1933.316736,California
432,Salem,2021-03-01,1277.01817,North Carolina
433,Salt Lake City,2021-03-01,1421.460669,Utah
434,San Antonio,2021-03-01,1341.063431,Texas
435,San Diego,2021-03-01,2341.538157,California
436,San Francisco,2021-03-01,3075.190429,California
437,San Jose,2021-03-01,3022.944283,California
438,Sarasota,2021-03-01,2158.237065,Florida
439,Scranton,2021-03-01,933.8433983,Pennsylvania
440,Seattle,2021-03-01,1978.449472,Washington
441,Spokane,2021-03-01,1356.34945,Washington
442,Springfield,2021-03-01,1347.333532,Massachusetts
443,St. Louis,2021-03-01,1164.8494,Missouri
444,St. Paul,2021-03-01,1562.524166,Minnesota
445,Stamford,2021-03-01,2186.562581,Connecticut
446,Stockton,2021-03-01,2125.05364,California
447,Syracuse,2021-03-01,1194.354467,New York
448,Tampa,2021-03-01,1577.021919,Florida
449,Toledo,2021-03-01,893.1600738,Ohio
450,Tucson,2021-03-01,1254.371025,Arizona
451,Tulsa,2021-03-01,1188.676653,Oklahoma
452,United States,2021-03-01,1752.428622,United States
453,Ventura,2021-03-01,2740.987684,California
454,Virginia Beach,2021-03-01,1390.890483,Virginia
455,Washington,2021-03-01,2066.98495,District of Columbia
456,Wichita,2021-03-01,839.9964883,Kansas
457,Winston,2021-03-01,1277.01817,North Carolina
458,Worcester,2021-03-01,1482.743143,Massachusetts
459,Youngstown,2021-03-01,733.527061,Ohio
460,Akron,2021-04-01,931.8920652,Ohio
461,Albany,2021-04-01,1363.855454,New York
462,Albuquerque,2021-04-01,1239.686852,New Mexico
463,Allentown,2021-04-01,1379.710564,Pennsylvania
464,Anaheim,2021-04-01,2587.47926,California
465,Atlanta,2021-04-01,1608.836846,Georgia
466,Augusta,2021-04-01,1173.275847,Georgia
467,Austin,2021-04-01,1550.194072,Texas
468,Bakersfield,2021-04-01,1402.752324,California
469,Baltimore,2021-04-01,1655.80769,Maryland
470,Baton Rouge,2021-04-01,1189.800186,Louisiana
471,Birmingham,2021-04-01,1112.377326,Alabama
472,Boise City,2021-04-01,1393.906082,Idaho
473,Boston,2021-04-01,2376.013948,Massachusetts
474,Boulder,2021-04-01,2069.763209,Colorado
475,Bradenton,2021-04-01,2156.099821,Florida
476,Buffalo,2021-04-01,1160.092653,New York
477,Charleston,2021-04-01,1575.643121,South Carolina
478,Charlotte,2021-04-01,1529.41383,North Carolina
479,Chattanooga,2021-04-01,1308.266475,Tennessee
480,Chicago,2021-04-01,1697.182468,Illinois
481,Cincinnati,2021-04-01,1325.259436,Ohio
482,Cleveland,2021-04-01,1154.688327,Ohio
483,Colorado Springs,2021-04-01,1586.108669,Colorado
484,Columbia,2021-04-01,1196.08849,South Carolina
485,Columbus,2021-04-01,1354.137536,Ohio
486,Dallas,2021-04-01,1571.400926,Texas
487,Dayton,2021-04-01,1058.476629,Ohio
