,city,date,price,state
228,Worcester,2014-02-01,1039.502189,Massachusetts
229,Youngstown,2014-02-01,637.9850674,Ohio
230,Akron,2014-03-01,755.1490734,Ohio
231,Albany,2014-03-01,1123.908458,New York
232,Albuquerque,2014-03-01,977.6778913,New Mexico
233,Allentown,2014-03-01,1094.563247,Pennsylvania
234,Anaheim,2014-03-01,1900.867898,California
235,Atlanta,2014-03-01,1132.504157,Georgia
236,Augusta,2014-03-01,965.8620588,Georgia
237,Austin,2014-03-01,1257.776056,Texas
238,Bakersfield,2014-03-01,1053.882914,California
239,Baltimore,2014-03-01,1492.27751,Maryland
240,Baton Rouge,2014-03-01,1051.436832,Louisiana
241,Birmingham,2014-03-01,917.6545107,Alabama
242,Boise City,2014-03-01,882.3002255,Idaho
243,Boston,2014-03-01,2010.039008,Massachusetts
244,Boulder,2014-03-01,1580.365781,Colorado
245,Bradenton,2014-03-01,1646.137244,Florida
246,Buffalo,2014-03-01,885.796957,New York
247,Charleston,2014-03-01,1195.751313,South Carolina
248,Charlotte,2014-03-01,1135.12707,North Carolina
249,Chattanooga,2014-03-01,921.0507306,Tennessee
250,Chicago,2014-03-01,1469.894066,Illinois
251,Cincinnati,2014-03-01,1004.115683,Ohio
252,Cleveland,2014-03-01,969.9029718,Ohio
253,Colorado Springs,2014-03-01,1061.160735,Colorado
254,Columbia,2014-03-01,973.0433826,South Carolina
255,Columbus,2014-03-01,1022.574483,Ohio
256,Dallas,2014-03-01,1212.507789,Texas
257,Dayton,2014-03-01,853.2322562,Ohio
258,Daytona Beach,2014-03-01,1021.476803,Florida
259,Denver,2014-03-01,1255.077376,Colorado
260,Des Moines,2014-03-01,995.4551671,Iowa
261,Detroit,2014-03-01,1048.399125,Michigan
262,Durham,2014-03-01,1147.092975,North Carolina
263,El Paso,2014-03-01,1042.130606,Texas
264,Fort Collins,2014-03-01,1197.407128,Colorado
265,Fort Lauderdale,2014-03-01,1565.976462,Florida
266,Fort Myers,2014-03-01,1322.08726,Florida
267,Fort Worth,2014-03-01,1212.507789,Texas
268,Fresno,2014-03-01,1125.130675,California
269,Gainesville,2014-03-01,963.1352013,Georgia
270,Grand Rapids,2014-03-01,846.7132737,Michigan
271,Greeley,2014-03-01,1169.418308,Colorado
272,Greensboro,2014-03-01,980.0265973,North Carolina
273,Greenville,2014-03-01,1030.941531,South Carolina
274,Harrisburg,2014-03-01,982.2550228,Pennsylvania
275,Hartford,2014-03-01,1153.664174,Connecticut
276,Honolulu,2014-03-01,1724.950764,Hawaii
277,Houston,2014-03-01,1275.401831,Texas
278,Indianapolis,2014-03-01,993.8352064,Indiana
279,Jackson,2014-03-01,1113.184426,Mississippi
280,Jacksonville,2014-03-01,1091.188076,Florida
281,Jefferson County,2014-03-01,783.9979697,Kentucky
282,Kansas City,2014-03-01,946.7855147,Missouri
283,Knoxville,2014-03-01,1041.325401,Tennessee
284,Lakeland,2014-03-01,1051.035205,Florida
285,Las Vegas,2014-03-01,1040.685805,Nevada
286,Little Rock,2014-03-01,811.8566904,Arkansas
287,Long Beach,2014-03-01,1900.867898,California
288,Los Angeles,2014-03-01,1900.867898,California
289,Louisville,2014-03-01,783.9979697,Kentucky
290,Madison,2014-03-01,1147.182389,Wisconsin
291,Melbourne,2014-03-01,1011.974616,Florida
292,Memphis,2014-03-01,1045.385787,Tennessee
293,Miami,2014-03-01,1565.976462,Florida
294,Milwaukee,2014-03-01,1035.41909,Wisconsin
295,Minneapolis,2014-03-01,1224.598385,Minnesota
296,Nashville,2014-03-01,1188.452563,Tennessee
297,New Haven,2014-03-01,1193.876212,Connecticut
298,New Orleans,2014-03-01,1208.672267,Louisiana
299,New York,2014-03-01,2379.199108,New York
300,North Port,2014-03-01,1646.137244,Florida
301,Ogden,2014-03-01,909.2886131,Utah
302,Oklahoma City,2014-03-01,969.3803354,Oklahoma
303,Omaha,2014-03-01,969.3211752,Nebraska
304,Orlando,2014-03-01,1200.717232,Florida
305,Philadelphia,2014-03-01,1360.830691,Pennsylvania
306,Phoenix,2014-03-01,1012.659595,Arizona
307,Pittsburgh,2014-03-01,1035.186731,Pennsylvania
308,Port St. Lucie,2014-03-01,1180.624019,Florida
309,Portland,2014-03-01,1184.99742,Oregon
310,Providence,2014-03-01,1185.077641,Rhode Island
311,Provo,2014-03-01,1004.434873,Utah
312,Raleigh,2014-03-01,1228.034451,North Carolina
313,Richmond,2014-03-01,1069.046416,Virginia
314,Riverside,2014-03-01,1510.394542,California
315,Rochester,2014-03-01,939.1649963,New York
316,Sacramento,2014-03-01,1258.20673,California
317,Salem,2014-03-01,989.4088619,North Carolina
318,Salt Lake City,2014-03-01,1062.811684,Utah
319,San Antonio,2014-03-01,1074.516901,Texas
320,San Diego,2014-03-01,1702.010354,California
321,San Francisco,2014-03-01,2278.653265,California
322,San Jose,2014-03-01,2181.985733,California
323,Sarasota,2014-03-01,1646.137244,Florida
324,Scranton,2014-03-01,740.9424879,Pennsylvania
325,Seattle,2014-03-01,1391.335584,Washington
326,Spokane,2014-03-01,922.4887761,Washington
327,Springfield,2014-03-01,1106.101275,Massachusetts
328,St. Louis,2014-03-01,964.7005674,Missouri
329,St. Paul,2014-03-01,1224.598385,Minnesota
330,Stamford,2014-03-01,1793.911769,Connecticut
331,Stockton,2014-03-01,1353.375997,California
332,Syracuse,2014-03-01,914.9896656,New York
333,Tampa,2014-03-01,1143.210106,Florida
334,Toledo,2014-03-01,745.2914731,Ohio
335,Tucson,2014-03-01,919.2068307,Arizona
336,Tulsa,2014-03-01,1008.799879,Oklahoma
337,United States,2014-03-01,1385.507827,United States
338,Ventura,2014-03-01,2081.863254,California
339,Virginia Beach,2014-03-01,1195.683992,Virginia
340,Washington,2014-03-01,1868.006929,District of Columbia
341,Wichita,2014-03-01,783.295561,Kansas
342,Winston,2014-03-01,989.4088619,North Carolina
343,Worcester,2014-03-01,1045.896248,Massachusetts
344,Youngstown,2014-03-01,655.8569269,Ohio
345,Akron,2014-04-01,760.2496612,Ohio
346,Albany,2014-04-01,1141.669837,New York
347,Albuquerque,2014-04-01,982.3949424,New Mexico
