,date,price,city,state
334,2014-03-01,756.0,Toledo,Ohio
335,2014-03-01,920.0,Tucson,Arizona
336,2014-03-01,1008.0,Tulsa,Oklahoma
337,2014-03-01,1379.0,United States,United States
338,2014-03-01,2064.0,Ventura,California
339,2014-03-01,1193.0,Virginia Beach,Virginia
340,2014-03-01,1862.0,Washington,District of Columbia
341,2014-03-01,753.0,Wichita,Kansas
342,2014-03-01,986.0,Winston,North Carolina
343,2014-03-01,1047.0,Worcester,Massachusetts
344,2014-03-01,639.0,Youngstown,Ohio
345,2014-04-01,752.0,Akron,Ohio
346,2014-04-01,1121.0,Albany,New York
347,2014-04-01,982.0,Albuquerque,New Mexico
348,2014-04-01,1096.0,Allentown,Pennsylvania
349,2014-04-01,1916.0,Anaheim,California
350,2014-04-01,1138.0,Atlanta,Georgia
351,2014-04-01,950.0,Augusta,Georgia
352,2014-04-01,1270.0,Austin,Texas
353,2014-04-01,1057.0,Bakersfield,California
354,2014-04-01,1509.0,Baltimore,Maryland
355,2014-04-01,1038.0,Baton Rouge,Louisiana
356,2014-04-01,919.0,Birmingham,Alabama
357,2014-04-01,894.0,Boise City,Idaho
358,2014-04-01,2017.0,Boston,Massachusetts
359,2014-04-01,1589.0,Boulder,Colorado
360,2014-04-01,1665.0,Bradenton,Florida
361,2014-04-01,892.0,Buffalo,New York
362,2014-04-01,1198.0,Charleston,South Carolina
363,2014-04-01,1141.0,Charlotte,North Carolina
364,2014-04-01,963.0,Chattanooga,Tennessee
365,2014-04-01,1482.0,Chicago,Illinois
366,2014-04-01,1000.0,Cincinnati,Ohio
367,2014-04-01,981.0,Cleveland,Ohio
368,2014-04-01,1064.0,Colorado Springs,Colorado
369,2014-04-01,952.0,Columbia,South Carolina
370,2014-04-01,1021.0,Columbus,Ohio
371,2014-04-01,1219.0,Dallas,Texas
372,2014-04-01,824.0,Dayton,Ohio
373,2014-04-01,1038.0,Daytona Beach,Florida
374,2014-04-01,1272.0,Denver,Colorado
375,2014-04-01,1005.0,Des Moines,Iowa
376,2014-04-01,1055.0,Detroit,Michigan
377,2014-04-01,1153.0,Durham,North Carolina
378,2014-04-01,1051.0,El Paso,Texas
379,2014-04-01,1238.0,Fort Collins,Colorado
380,2014-04-01,1569.0,Fort Lauderdale,Florida
381,2014-04-01,1330.0,Fort Myers,Florida
382,2014-04-01,1219.0,Fort Worth,Texas
383,2014-04-01,1145.0,Fresno,California
384,2014-04-01,997.0,Gainesville,Georgia
385,2014-04-01,865.0,Grand Rapids,Michigan
386,2014-04-01,1168.0,Greeley,Colorado
387,2014-04-01,985.0,Greensboro,North Carolina
388,2014-04-01,1066.0,Greenville,South Carolina
389,2014-04-01,978.0,Harrisburg,Pennsylvania
390,2014-04-01,1172.0,Hartford,Connecticut
391,2014-04-01,1741.0,Honolulu,Hawaii
392,2014-04-01,1301.0,Houston,Texas
393,2014-04-01,998.0,Indianapolis,Indiana
394,2014-04-01,1122.0,Jackson,Mississippi
395,2014-04-01,1099.0,Jacksonville,Florida
396,2014-04-01,788.0,Jefferson County,Kentucky
397,2014-04-01,952.0,Kansas City,Missouri
398,2014-04-01,1045.0,Knoxville,Tennessee
399,2014-04-01,1049.0,Lakeland,Florida
400,2014-04-01,1045.0,Las Vegas,Nevada
401,2014-04-01,829.0,Little Rock,Arkansas
402,2014-04-01,1916.0,Long Beach,California
403,2014-04-01,1916.0,Los Angeles,California
404,2014-04-01,788.0,Louisville,Kentucky
405,2014-04-01,1132.0,Madison,Wisconsin
406,2014-04-01,1009.0,Melbourne,Florida
407,2014-04-01,1055.0,Memphis,Tennessee
408,2014-04-01,1569.0,Miami,Florida
409,2014-04-01,1040.0,Milwaukee,Wisconsin
410,2014-04-01,1233.0,Minneapolis,Minnesota
411,2014-04-01,1199.0,Nashville,Tennessee
412,2014-04-01,1219.0,New Haven,Connecticut
413,2014-04-01,1229.0,New Orleans,Louisiana
414,2014-04-01,2385.0,New York,New York
415,2014-04-01,1665.0,North Port,Florida
416,2014-04-01,899.0,Ogden,Utah
417,2014-04-01,978.0,Oklahoma City,Oklahoma
418,2014-04-01,977.0,Omaha,Nebraska
419,2014-04-01,1207.0,Orlando,Florida
420,2014-04-01,1364.0,Philadelphia,Pennsylvania
421,2014-04-01,1021.0,Phoenix,Arizona
422,2014-04-01,1024.0,Pittsburgh,Pennsylvania
423,2014-04-01,1168.0,Port St. Lucie,Florida
424,2014-04-01,1191.0,Portland,Oregon
425,2014-04-01,1188.0,Providence,Rhode Island
426,2014-04-01,1014.0,Provo,Utah
427,2014-04-01,1233.0,Raleigh,North Carolina
428,2014-04-01,1073.0,Richmond,Virginia
429,2014-04-01,1526.0,Riverside,California
430,2014-04-01,936.0,Rochester,New York
431,2014-04-01,1270.0,Sacramento,California
432,2014-04-01,992.0,Salem,North Carolina
433,2014-04-01,1069.0,Salt Lake City,Utah
434,2014-04-01,1081.0,San Antonio,Texas
435,2014-04-01,1715.0,San Diego,California
436,2014-04-01,2274.0,San Francisco,California
437,2014-04-01,2232.0,San Jose,California
438,2014-04-01,1665.0,Sarasota,Florida
439,2014-04-01,747.0,Scranton,Pennsylvania
440,2014-04-01,1405.0,Seattle,Washington
441,2014-04-01,910.0,Spokane,Washington
442,2014-04-01,1120.0,Springfield,Massachusetts
443,2014-04-01,965.0,St. Louis,Missouri
444,2014-04-01,1233.0,St. Paul,Minnesota
445,2014-04-01,1816.0,Stamford,Connecticut
446,2014-04-01,1369.0,Stockton,California
447,2014-04-01,921.0,Syracuse,New York
448,2014-04-01,1146.0,Tampa,Florida
449,2014-04-01,749.0,Toledo,Ohio
450,2014-04-01,923.0,Tucson,Arizona
451,2014-04-01,1010.0,Tulsa,Oklahoma
452,2014-04-01,1395.0,United States,United States
453,2014-04-01,2092.0,Ventura,California
454,2014-04-01,1197.0,Virginia Beach,Virginia
455,2014-04-01,1873.0,Washington,District of Columbia
456,2014-04-01,747.0,Wichita,Kansas
457,2014-04-01,992.0,Winston,North Carolina
458,2014-04-01,1045.0,Worcester,Massachusetts
459,2014-04-01,632.0,Youngstown,Ohio
460,2014-05-01,757.0,Akron,Ohio
461,2014-05-01,1149.0,Albany,New York
462,2014-05-01,989.0,Albuquerque,New Mexico
463,2014-05-01,1122.0,Allentown,Pennsylvania
464,2014-05-01,1939.0,Anaheim,California
465,2014-05-01,1147.0,Atlanta,Georgia
466,2014-05-01,951.0,Augusta,Georgia
467,2014-05-01,1281.0,Austin,Texas
468,2014-05-01,1064.0,Bakersfield,California
469,2014-05-01,1519.0,Baltimore,Maryland
470,2014-05-01,1063.0,Baton Rouge,Louisiana
471,2014-05-01,918.0,Birmingham,Alabama
472,2014-05-01,901.0,Boise City,Idaho
473,2014-05-01,2032.0,Boston,Massachusetts
474,2014-05-01,1625.0,Boulder,Colorado
475,2014-05-01,1649.0,Bradenton,Florida
476,2014-05-01,903.0,Buffalo,New York
477,2014-05-01,1211.0,Charleston,South Carolina
478,2014-05-01,1153.0,Charlotte,North Carolina
479,2014-05-01,962.0,Chattanooga,Tennessee
480,2014-05-01,1498.0,Chicago,Illinois
481,2014-05-01,1015.0,Cincinnati,Ohio
482,2014-05-01,975.0,Cleveland,Ohio
483,2014-05-01,1079.0,Colorado Springs,Colorado
484,2014-05-01,954.0,Columbia,South Carolina
485,2014-05-01,1034.0,Columbus,Ohio
486,2014-05-01,1232.0,Dallas,Texas
487,2014-05-01,825.0,Dayton,Ohio
488,2014-05-01,1036.0,Daytona Beach,Florida
489,2014-05-01,1294.0,Denver,Colorado
490,2014-05-01,1020.0,Des Moines,Iowa
491,2014-05-01,1059.0,Detroit,Michigan
492,2014-05-01,1171.0,Durham,North Carolina
493,2014-05-01,1051.0,El Paso,Texas
494,2014-05-01,1250.0,Fort Collins,Colorado
495,2014-05-01,1577.0,Fort Lauderdale,Florida
496,2014-05-01,1338.0,Fort Myers,Florida
497,2014-05-01,1232.0,Fort Worth,Texas
498,2014-05-01,1163.0,Fresno,California
499,2014-05-01,981.0,Gainesville,Georgia
500,2014-05-01,889.0,Grand Rapids,Michigan
501,2014-05-01,1178.0,Greeley,Colorado
502,2014-05-01,991.0,Greensboro,North Carolina
503,2014-05-01,1057.0,Greenville,South Carolina
504,2014-05-01,980.0,Harrisburg,Pennsylvania
505,2014-05-01,1172.0,Hartford,Connecticut
506,2014-05-01,1800.0,Honolulu,Hawaii
507,2014-05-01,1325.0,Houston,Texas
508,2014-05-01,1010.0,Indianapolis,Indiana
509,2014-05-01,1145.0,Jackson,Mississippi
510,2014-05-01,1098.0,Jacksonville,Florida
511,2014-05-01,802.0,Jefferson County,Kentucky
512,2014-05-01,958.0,Kansas City,Missouri
513,2014-05-01,1057.0,Knoxville,Tennessee
514,2014-05-01,1051.0,Lakeland,Florida
515,2014-05-01,1053.0,Las Vegas,Nevada
516,2014-05-01,823.0,Little Rock,Arkansas
517,2014-05-01,1939.0,Long Beach,California
518,2014-05-01,1939.0,Los Angeles,California
519,2014-05-01,802.0,Louisville,Kentucky
520,2014-05-01,1141.0,Madison,Wisconsin
521,2014-05-01,1017.0,Melbourne,Florida
522,2014-05-01,1053.0,Memphis,Tennessee
523,2014-05-01,1577.0,Miami,Florida
524,2014-05-01,1057.0,Milwaukee,Wisconsin
525,2014-05-01,1239.0,Minneapolis,Minnesota
526,2014-05-01,1223.0,Nashville,Tennessee
527,2014-05-01,1222.0,New Haven,Connecticut
528,2014-05-01,1241.0,New Orleans,Louisiana
529,2014-05-01,2414.0,New York,New York
530,2014-05-01,1649.0,North Port,Florida
531,2014-05-01,938.0,Ogden,Utah
532,2014-05-01,991.0,Oklahoma City,Oklahoma
533,2014-05-01,985.0,Omaha,Nebraska
534,2014-05-01,1214.0,Orlando,Florida
535,2014-05-01,1372.0,Philadelphia,Pennsylvania
536,2014-05-01,1030.0,Phoenix,Arizona
537,2014-05-01,1028.0,Pittsburgh,Pennsylvania
538,2014-05-01,1197.0,Port St. Lucie,Florida
539,2014-05-01,1216.0,Portland,Oregon
540,2014-05-01,1196.0,Providence,Rhode Island
541,2014-05-01,1017.0,Provo,Utah
542,2014-05-01,1240.0,Raleigh,North Carolina
543,2014-05-01,1089.0,Richmond,Virginia
544,2014-05-01,1533.0,Riverside,California
545,2014-05-01,954.0,Rochester,New York
546,2014-05-01,1277.0,Sacramento,California
547,2014-05-01,1002.0,Salem,North Carolina
548,2014-05-01,1083.0,Salt Lake City,Utah
549,2014-05-01,1096.0,San Antonio,Texas
550,2014-05-01,1743.0,San Diego,California
551,2014-05-01,2346.0,San Francisco,California
552,2014-05-01,2327.0,San Jose,California
553,2014-05-01,1649.0,Sarasota,Florida
554,2014-05-01,760.0,Scranton,Pennsylvania
